Waktu Gempa (UTC);Lintang;Bujur;Magnitudo;Kedalaman (Km);Wilayah;Status;Detail
26/10/2024 07:23;-50.27;69.40;5.4;10;Kerguelen Islands Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vawb
25/10/2024 23:23;-2.37;134.67;3.5;17;West Papua Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vagf
25/10/2024 23:17;-7.71;106.60;3.2;23;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vaga
25/10/2024 21:40;-9.97;118.86;3.6;10;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vacv
25/10/2024 20:40;-0.41;120.22;3.4;10;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vaav
25/10/2024 20:23;-1.99;99.96;3.0;21;Southern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vaag
25/10/2024 20:15;-2.52;140.66;4.0;10;Near North Coast of West Papua;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vaaa
25/10/2024 19:50;-1.13;127.33;3.9;10;Halmahera-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024uzzf
25/10/2024 16:17;-9.62;114.25;3.2;10;South of Bali-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024uzsd
25/10/2024 16:10;-3.64;119.34;2.9;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024uzrx
