Waktu Gempa (UTC);Lintang;Bujur;Magnitudo;Kedalaman (Km);Wilayah;Status;Detail
02/11/2024 10:56;1.47;126.29;2.8;25;Northern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnxp
02/11/2024 10:19;-6.34;103.54;5.0;40;Southwest of Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnwj
02/11/2024 09:34;-10.52;116.36;3.3;17;South of Sumbawa-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnux
02/11/2024 08:26;-0.26;123.18;2.3;57;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnsr
02/11/2024 08:06;5.15;127.10;3.3;77;Philippine Islands Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnrz
02/11/2024 07:20;-9.55;117.54;4.6;13;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnql
02/11/2024 06:47;0.27;122.22;2.6;164;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnpj
02/11/2024 06:27;21.29;121.00;4.9;44;Taiwan Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnos
02/11/2024 05:03;-17.86;-178.55;5.8;592;Fiji Islands Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnlz
02/11/2024 03:14;-7.04;126.70;4.4;397;Banda Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnii
01/11/2024 23:00;7.30;125.98;4.7;57;Mindanao-Philippines;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vmzy
01/11/2024 22:16;-1.33;120.54;3.0;5;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vmyn
01/11/2024 20:01;36.30;70.51;4.9;107;Hindu Kush Region-Afghanistan;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vmub
01/11/2024 17:19;-0.52;125.89;5.5;53;Southern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vmos
01/11/2024 17:05;1.18;126.16;2.6;28;Northern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vmoh
01/11/2024 15:52;0.66;121.25;2.8;112;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vmlw
01/11/2024 15:43;-8.43;119.15;3.6;6;Flores Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vmlo
01/11/2024 13:58;-2.32;138.37;4.5;24;West Papua-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vmic
01/11/2024 12:25;1.70;126.89;3.6;101;Northern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vmfa
01/11/2024 11:20;-1.60;126.52;4.2;30;Southern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vmcw
01/11/2024 08:48;-2.65;139.43;4.9;32;Near North Coast of West Papua;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vlxw
01/11/2024 08:33;-9.20;109.02;4.5;8;South of Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vlxk
01/11/2024 08:25;13.96;138.56;4.8;87;West of Mariana Islands;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vlxd
01/11/2024 05:42;-9.35;113.97;2.9;32;South of Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vlrt
01/11/2024 05:38;56.42;-34.00;5.5;10;Reykjanes Ridge;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vlrp
01/11/2024 05:30;-7.43;106.53;2.8;45;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vlri
01/11/2024 04:20;-9.38;120.37;2.8;54;Sumba Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vlpa
01/11/2024 03:16;0.77;121.59;2.7;62;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vlmx
01/11/2024 03:00;4.43;98.14;4.4;8;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vlmk
01/11/2024 02:38;-7.70;106.66;2.5;31;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vllr
31/10/2024 23:20;-10.24;120.22;3.0;20;Sumba Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vlfd
31/10/2024 22:42;-9.21;118.91;3.1;11;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vldx
31/10/2024 20:52;44.00;148.89;5.3;54;East of Kuril Islands;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vlag
31/10/2024 20:20;-9.96;151.88;4.8;45;D'Entrecasteaux Islands Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vkzf
31/10/2024 20:14;-8.69;116.12;3.1;89;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vkza
31/10/2024 19:42;-9.59;117.53;4.5;11;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vkxy
31/10/2024 18:43;-2.82;139.78;2.6;46;Near North Coast of West Papua;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vkvz
31/10/2024 17:48;-9.11;109.04;4.6;5;South of Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vkue
31/10/2024 17:46;-6.93;155.41;5.4;64;Solomon Islands;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vkuc
31/10/2024 17:26;3.09;126.59;3.5;30;Talaud Islands-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vktm
31/10/2024 16:56;-1.53;120.02;2.5;5;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vksm
31/10/2024 16:18;23.57;121.66;5.2;40;Taiwan;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vkrf
31/10/2024 09:57;-3.28;123.31;3.7;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vkeq
31/10/2024 08:52;-49.96;126.89;4.9;10;Western Indian-Antarctic Ridge;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vkcn
31/10/2024 08:46;-9.23;112.53;4.0;30;South of Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vkch
31/10/2024 08:24;-8.48;112.21;3.1;107;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vkbo
31/10/2024 06:46;0.86;98.55;3.5;13;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vjyi
31/10/2024 06:02;0.16;121.04;3.5;127;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vjwx
31/10/2024 06:02;-19.06;-177.84;5.1;497;Fiji Islands Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vjww
31/10/2024 05:44;-48.99;121.43;5.2;10;Western Indian-Antarctic Ridge;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vjwh
31/10/2024 04:32;2.26;98.80;2.5;10;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vjtx
31/10/2024 04:30;-7.81;118.75;2.9;22;Flores Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vjtw
30/10/2024 23:47;4.67;127.44;4.6;108;Talaud Islands-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vjkn
30/10/2024 22:36;-9.44;116.86;4.0;84;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vjie
30/10/2024 21:39;19.04;121.16;4.9;77;Philippine Islands Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vjgh
30/10/2024 20:15;43.86;-127.66;5.9;71;Off Coast of Oregon;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vjdn
30/10/2024 18:04;-0.24;123.81;3.2;102;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vize
30/10/2024 16:32;-8.06;107.90;4.4;28;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024viwe
30/10/2024 13:03;6.42;126.80;4.8;93;Mindanao-Philippines;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024viph
30/10/2024 12:18;-4.44;150.02;5.6;526;New Britain Region-Papua New Guinea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vinu
30/10/2024 11:43;-9.65;119.22;2.8;10;Sumba Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vimq
30/10/2024 11:11;-2.40;134.24;3.7;10;West Papua Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vilp
30/10/2024 10:30;-8.72;110.22;2.9;27;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vikg
30/10/2024 10:02;-0.09;100.20;3.1;10;Southern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vijh
30/10/2024 10:00;-9.49;114.23;3.3;10;South of Bali-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vijg
30/10/2024 09:56;-0.05;122.91;2.8;124;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vijc
30/10/2024 09:48;-9.66;114.17;3.7;10;South of Bali-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024viiw
30/10/2024 08:59;-25.24;-178.84;4.9;405;South of Fiji Islands;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vihf
30/10/2024 07:12;-2.38;121.02;3.0;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vidr
30/10/2024 06:47;1.76;127.76;2.4;43;Halmahera-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vicw
30/10/2024 06:19;-1.37;120.49;1.8;5;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024viby
30/10/2024 05:58;-8.89;125.46;3.0;12;Timor Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vibg
30/10/2024 04:17;1.24;127.01;3.1;10;Halmahera-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhxx
30/10/2024 04:16;-8.36;119.83;2.4;160;Flores Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhxy
30/10/2024 03:45;-0.38;122.94;2.7;14;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhww
30/10/2024 03:29;0.68;120.58;2.4;10;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhwi
30/10/2024 02:38;-1.57;123.40;4.5;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhuq
30/10/2024 02:08;-2.41;120.98;2.9;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhtr
30/10/2024 01:34;-3.48;117.27;3.3;10;Borneo;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhso
30/10/2024 01:04;0.60;121.69;2.4;66;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhro
30/10/2024 01:01;-8.61;110.25;2.8;30;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhrl
29/10/2024 23:00;-8.99;120.50;2.5;11;Flores Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhnm
29/10/2024 22:59;4.94;96.08;4.3;10;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhnl
29/10/2024 19:25;-4.79;122.19;2.6;5;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhgj
29/10/2024 19:21;-2.49;120.74;2.8;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhgf
29/10/2024 19:04;-4.85;122.17;2.7;5;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhfr
29/10/2024 17:00;-6.65;129.89;4.4;173;Banda Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhbp
29/10/2024 16:54;-7.42;128.57;4.6;164;Banda Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhbj
29/10/2024 16:52;-2.59;128.89;4.3;16;Ceram Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhbi
29/10/2024 16:44;-8.78;110.72;2.8;30;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhbb
29/10/2024 16:16;-19.83;-176.94;4.8;328;Fiji Islands Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vhad
29/10/2024 15:50;-7.37;120.38;4.1;599;Flores Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgzh
29/10/2024 15:43;1.97;121.47;3.9;10;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgzb
29/10/2024 14:12;-3.92;121.37;2.9;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgwb
29/10/2024 12:54;-2.38;121.06;2.7;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgtm
29/10/2024 12:44;-2.39;121.07;3.0;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgtd
29/10/2024 11:02;10.39;127.63;5.3;10;Philippine Islands Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgpu
29/10/2024 10:51;5.28;95.11;3.5;11;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgpk
29/10/2024 08:32;-18.19;-178.09;5.1;581;Fiji Islands Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgkv
29/10/2024 08:27;-2.71;128.00;3.9;10;Ceram Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgkr
29/10/2024 07:45;11.76;142.33;5.3;26;South of Mariana Islands;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgjh
29/10/2024 07:31;-0.51;100.77;3.6;151;Southern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgiv
29/10/2024 07:15;-3.19;119.35;2.4;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgih
29/10/2024 06:29;4.52;96.47;3.4;10;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vggt
29/10/2024 06:13;-18.73;169.57;4.7;306;Vanuatu Islands;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vggg
29/10/2024 05:01;4.53;96.43;3.9;10;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgdw
29/10/2024 04:46;-0.39;123.31;3.0;13;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgdj
29/10/2024 04:27;-2.84;129.81;4.4;10;Seram-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgct
29/10/2024 04:16;-2.91;129.88;3.5;10;Seram-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vgcj
29/10/2024 02:35;4.85;96.16;4.8;10;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vfzb
29/10/2024 02:05;1.09;126.85;3.7;46;Northern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vfyb
